,geometry,n
0,POINT (127.3640069230769 36.35706790384616),49
1,POINT (127.318108 36.367013),1
2,POINT (127.357877 36.360017250000006),0
3,POINT (127.35223026470591 36.359850647058835),34
4,POINT (127.34469341509437 36.361217641509434),53
5,POINT (127.340493 36.363568),0
6,POINT (127.3364643125 36.364526625),18
7,POINT (127.32834949999999 36.3672281),10
8,POINT (127.32329599999998 36.3673258),5
9,POINT (127.36861224999998 36.366436625000006),15
10,POINT (127.36356283333333 36.36436058333334),11
11,POINT (127.34266848275861 36.35525986206897),29
12,POINT (127.33567871428572 36.35483071428571),7
13,POINT (127.336741 36.359770000000005),5
14,POINT (127.3699622 36.3343256),5
15,POINT (127.36948505555557 36.35274044444445),18
16,POINT (127.369094625 36.34833999999999),8
17,POINT (127.36942214285713 36.34416157142858),7
18,POINT (127.36668788888889 36.338143111111116),9
19,POINT (127.318126 36.338145),1
20,POINT (127.32012300000001 36.3422374),5
21,POINT (127.3242545 36.345904000000004),4
22,POINT (127.33009533333332 36.34903833333333),6
23,POINT (127.33538414285714 36.34879985714286),7
24,POINT (127.34249666666668 36.34868344444445),9
25,POINT (127.34961723809522 36.35042733333332),23
26,POINT (127.3567718 36.35357684999999),18
27,POINT (127.35841263414636 36.35936814634145),44
28,POINT (127.370316 36.3577753),13
29,POINT (127.3691095 36.361465),7
30,POINT (127.34856459999999 36.35723019999999),10
31,POINT (127.33958066666666 36.368197),3
32,POINT (127.363108 36.334366),2
33,POINT (127.357553 36.332693),2
34,POINT (127.351571 36.332205),2
35,POINT (127.345285 36.332281),2
36,POINT (127.339311 36.332233),2
37,POINT (127.34751449999999 36.341427499999995),2
38,POINT (127.334518 36.3412686),5
39,POINT (127.35651242857143 36.36370628571429),13
0,POINT (127.3691943 36.35884695000001),21
1,POINT (127.36302011538461 36.365548),25
2,POINT (127.36237853846153 36.35797715384616),0
3,POINT (127.35762466666662 36.359704571428566),0
4,POINT (127.36958383333332 36.35171766666667),12
5,POINT (127.36877657142858 36.36647024999999),29
6,POINT (127.35066104166667 36.36025683333332),23
7,POINT (127.34408933333337 36.361852925925916),27
8,POINT (127.33778934999998 36.3648362),20
9,POINT (127.33116591666668 36.36621958333334),12
10,POINT (127.32707330769229 36.36721661538463),13
11,POINT (127.31809866666667 36.366801),3
12,POINT (127.36510899999999 36.3626128),10
13,POINT (127.36337432142854 36.35736710714286),42
14,POINT (127.35793245714288 36.36029671428572),0
15,POINT (127.35209400000001 36.35208366666667),15
16,POINT (127.34281131578949 36.353972684210525),19
17,POINT (127.33945980000001 36.34974425),17
18,POINT (127.33636 36.35888),0
19,POINT (127.34566975 36.3675485),4
20,POINT (127.36884966666666 36.343545),3
21,POINT (127.36993499999998 36.334351),6
22,POINT (127.3382548 36.3280086),5
23,POINT (127.36514849999999 36.334874),4
24,POINT (127.35856457142856 36.332863714285715),7
25,POINT (127.35215257142856 36.33215414285714),7
26,POINT (127.34637528571429 36.33201764285714),14
27,POINT (127.33860678947367 36.33233594736842),19
28,POINT (127.34876425 36.34781675),5
29,POINT (127.318148 36.359368),2
30,POINT (127.32707020000001 36.359466399999995),5
31,POINT (127.326816 36.354831),2
32,POINT (127.325363 36.3493955),4
33,POINT (127.32262366666667 36.345717),3
34,POINT (127.31885833333332 36.341112833333334),6
35,POINT (127.34794275 36.32753825),4
36,POINT (127.349258 36.336335500000004),4
37,POINT (127.34759566666666 36.341518666666666),3
38,POINT (127.33185625 36.350915),4
39,POINT (127.35507675 36.357786374999996),20
40,POINT (127.35782888888889 36.36163633333334),49
41,POINT (127.33922219999997 36.342789700000004),10
42,POINT (127.33699573333332 36.33816073333333),15
43,POINT (127.33293774999999 36.332919374999996),8
44,POINT (127.33934200000002 36.357393222222214),10
45,POINT (127.35936199999999 36.353646999999995),7
46,POINT (127.33598749999999 36.34429925),5
47,POINT (127.335775 36.36029),4
0,POINT (127.3479665 36.327771642857144),14
1,POINT (127.3693842142857 36.35787582142857),27
2,POINT (127.34743642857144 36.332311928571436),23
3,POINT (127.3493224 36.337627999999995),10
4,POINT (127.34742716666669 36.3419355),12
5,POINT (127.34708831249999 36.347899749999996),31
6,POINT (127.3541543870968 36.35145287096775),31
7,POINT (127.3585231891892 36.35443786486486),39
8,POINT (127.36295765384618 36.358130750000015),44
9,POINT (127.36301060000002 36.3653874),20
10,POINT (127.339492 36.36778866666666),6
11,POINT (127.35787324999997 36.36044786666667),58
12,POINT (127.35223372222221 36.359518333333334),51
13,POINT (127.34516407692307 36.361328461538456),53
14,POINT (127.34027740000003 36.363040899999994),19
15,POINT (127.3362961219513 36.36414360975612),40
16,POINT (127.32921907894733 36.366783552631574),40
17,POINT (127.32388536000002 36.36707008),24
18,POINT (127.31906940000002 36.366983700000006),11
19,POINT (127.3420286935484 36.35468166129031),61
20,POINT (127.36946775 36.343911),13
21,POINT (127.36939389743591 36.351570435897436),37
22,POINT (127.33996576666665 36.34783783333334),25
23,POINT (127.33855300000002 36.331393676470576),33
24,POINT (127.33675476190477 36.35671771428572),22
25,POINT (127.33518133333332 36.33683166666666),6
26,POINT (127.33183866666666 36.33177033333334),9
27,POINT (127.34787379545455 36.352153204545445),42
28,POINT (127.36664400000001 36.33851250000001),4
29,POINT (127.345728 36.3682),2
30,POINT (127.36932094736841 36.36617742105263),19
31,POINT (127.36800672 36.33433412),25
32,POINT (127.33931519999999 36.3438666),10
33,POINT (127.35200606666665 36.33212006666667),15
34,POINT (127.35828917647059 36.332700470588236),17
35,POINT (127.318913 36.3424265),2
36,POINT (127.3244455 36.332237),4
37,POINT (127.31861266666665 36.332261333333335),3
38,POINT (127.31815 36.33824),1
39,POINT (127.36403686046516 36.35430000000001),48
40,POINT (127.3332565 36.348602),5
41,POINT (127.3546922 36.3638982),7
42,POINT (127.36496300000002 36.3625226),13
43,POINT (127.31884433333333 36.35937333333334),6
44,POINT (127.32701689999999 36.3592771),9
45,POINT (127.33110880000001 36.356377900000005),11
46,POINT (127.34858694117645 36.354784470588235),21
47,POINT (127.327402 36.34867966666667),3
48,POINT (127.34414724999999 36.331029),10
0,POINT (127.31933587500001 36.341299),16
1,POINT (127.35843579999997 36.332753),20
2,POINT (127.31922860000002 36.332281),5
3,POINT (127.325758 36.3322655),4
4,POINT (127.33219333333334 36.33238766666667),7
5,POINT (127.33806372727271 36.33196772727272),21
6,POINT (127.34234199999999 36.33219966666667),18
7,POINT (127.3479144090909 36.33221386363636),22
8,POINT (127.35308250000001 36.332153142857145),14
9,POINT (127.32652575 36.36182475),0
10,POINT (127.368894282353 36.35256389411763),84
11,POINT (127.332023875 36.35718625),8
12,POINT (127.33728065217392 36.360696826086965),22
13,POINT (127.34092085416665 36.35489987500001),52
14,POINT (127.34742542857141 36.352616619047616),0
15,POINT (127.35730294444443 36.353847333333334),36
16,POINT (127.362725 36.354553249999995),0
17,POINT (127.36901140425535 36.3464089787234),43
18,POINT (127.34261733333334 36.343179166666665),0
19,POINT (127.33993179310346 36.348469034482754),22
20,POINT (127.34609545454549 36.34686),14
21,POINT (127.35122889473685 36.350799947368415),31
22,POINT (127.33946583333334 36.32971466666667),6
23,POINT (127.36494975 36.334947375),8
24,POINT (127.3692445 36.33374864285714),14
25,POINT (127.35789460975604 36.36060997560975),43
26,POINT (127.35152737931037 36.36080110344827),29
27,POINT (127.34555174999998 36.361695749999996),0
28,POINT (127.33282800000002 36.34965878571428),14
29,POINT (127.3268294 36.3485198),5
30,POINT (127.3236766 36.345311),5
31,POINT (127.3634441538462 36.35462610256408),45
32,POINT (127.3694068 36.360721600000005),13
33,POINT (127.364018 36.357855125),0
34,POINT (127.34853366666665 36.339424666666666),6
35,POINT (127.35415535294115 36.363215647058816),14
36,POINT (127.33125977777779 36.366665999999995),9
37,POINT (127.3444734857143 36.361368971428575),41
38,POINT (127.33733886666666 36.364398400000006),16
39,POINT (127.320074 36.36709425),4
40,POINT (127.363939625 36.364266625),0
41,POINT (127.32563992857142 36.367185285714285),15
42,POINT (127.34799916666668 36.32763216666667),6
43,POINT (127.3392939 36.3436387),17
44,POINT (127.34363014285714 36.33972885714285),10
45,POINT (127.3369866153846 36.338333076923064),13
46,POINT (127.367951 36.366691083333336),15
47,POINT (127.36292225 36.36594381249999),21
48,POINT (127.31883966666668 36.35944733333333),3
49,POINT (127.325446 36.35967133333333),6
50,POINT (127.3395362 36.368134600000005),5
51,POINT (127.34575033333334 36.36789266666667),4
52,POINT (127.36363527272728 36.358681363636364),21
53,POINT (127.35261700000001 36.35656155555555),11
54,POINT (127.34852099999998 36.355823),18
55,POINT (127.354325 36.346563),3
56,POINT (127.36703766666666 36.342012000000004),7
0,POINT (127.36935371428572 36.3440430952381),19
1,POINT (127.36952352500002 36.351418349999996),40
2,POINT (127.34808533333334 36.327492),3
3,POINT (127.36929800000003 36.36492994736843),19
4,POINT (127.34763125 36.331854250000006),8
5,POINT (127.349488 36.33763),2
6,POINT (127.347403 36.342088),2
7,POINT (127.34764200000001 36.347685),4
8,POINT (127.34852932000001 36.35267496),16
9,POINT (127.35471910526317 36.35758136842106),23
10,POINT (127.35892362499995 36.36035717500001),35
11,POINT (127.36370266666667 36.36045385185185),25
12,POINT (127.35016213793106 36.360125103448276),26
13,POINT (127.33092016666666 36.32833516666667),5
14,POINT (127.33437669999998 36.3315849),11
15,POINT (127.36892486956522 36.35768391304348),23
16,POINT (127.33698547826089 36.356439),20
17,POINT (127.34310496969697 36.361183939393946),31
18,POINT (127.37023900000001 36.32935266666667),3
19,POINT (127.36770278571429 36.33490271428571),13
20,POINT (127.35864360000001 36.3328888),5
21,POINT (127.33652780645164 36.36327193548388),32
22,POINT (127.32910085714286 36.36701619047619),21
23,POINT (127.32331818181818 36.36691318181818),11
24,POINT (127.318246 36.36682266666667),3
25,POINT (127.32660349999999 36.360622),6
26,POINT (127.33222266666667 36.35657533333333),8
27,POINT (127.32975 36.353326),2
28,POINT (127.32734785714285 36.34862357142857),7
29,POINT (127.3233324 36.344958600000005),5
30,POINT (127.31927042857144 36.34093757142857),7
31,POINT (127.3535316 36.332117800000006),5
32,POINT (127.36410746153845 36.35497261538462),26
33,POINT (127.34536853846154 36.36351723076923),15
34,POINT (127.341779 36.367673499999995),2
35,POINT (127.319454 36.33224033333333),3
36,POINT (127.326187 36.332218499999996),4
37,POINT (127.3400476 36.332081200000005),5
38,POINT (127.35855576923078 36.35340138461539),14
39,POINT (127.353484 36.350731833333334),16
40,POINT (127.363134125 36.3664275),12
41,POINT (127.356255 36.36821),2
42,POINT (127.3415046 36.35423886666667),18
43,POINT (127.34744833333333 36.35602633333334),9
44,POINT (127.340316 36.347509111111115),9
45,POINT (127.3347085 36.3485595),4
46,POINT (127.335141 36.337355),2
47,POINT (127.338381 36.341123),2
48,POINT (127.366528 36.339291),5
0,POINT (127.36938278378379 36.35733851351352),37
1,POINT (127.36410267045454 36.35667489772726),88
2,POINT (127.3581997162162 36.359762040540524),73
3,POINT (127.3519102105263 36.35976512280702),56
4,POINT (127.3452508082192 36.36136220547943),74
5,POINT (127.34023535294118 36.36338376470588),33
6,POINT (127.33611143749997 36.3641446875),32
7,POINT (127.33110235999997 36.36644776),29
8,POINT (127.32604556666665 36.36727816666666),31
9,POINT (127.31856299999998 36.367009),6
10,POINT (127.36975583783781 36.35259205405404),37
11,POINT (127.33952114285714 36.36784071428571),7
12,POINT (127.34153939743588 36.35461665384616),76
13,POINT (127.33584050000002 36.35646607894736),30
14,POINT (127.36839533333331 36.33480144444444),18
15,POINT (127.34793922222222 36.327587555555546),9
16,POINT (127.35713583333334 36.332632499999995),12
17,POINT (127.34915605555554 36.33232094444444),18
